iter	Passed	Remaining
0	2	248
1	4	200
2	5	179
3	6	161
4	8	154
5	9	147
6	10	140
7	11	135
8	12	131
9	14	127
10	15	126
11	17	125
12	18	122
13	19	119
14	20	117
15	21	114
16	22	111
17	23	109
18	25	106
19	26	104
20	27	102
21	28	100
22	29	97
23	30	96
24	31	95
25	32	93
26	33	91
27	34	89
28	35	86
29	36	84
30	37	82
31	37	80
32	38	78
33	39	76
34	40	74
35	41	72
36	41	71
37	42	69
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	88	8
91	89	7
92	90	6
93	92	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	96	0
