iter	Passed	Remaining
0	156	156793
1	158	79257
2	160	53402
3	162	40465
4	164	32699
5	166	27586
6	169	24048
7	171	21249
8	173	19067
9	174	17294
10	176	15839
11	177	14620
12	179	13610
13	181	12764
14	182	11980
15	183	11292
16	184	10682
17	185	10140
18	187	9656
19	188	9216
20	189	8816
21	190	8453
22	191	8123
23	192	7822
24	193	7546
25	195	7312
26	196	7070
27	197	6841
28	197	6628
29	198	6433
30	199	6246
31	200	6069
32	201	5903
33	202	5746
34	203	5599
35	203	5460
36	204	5328
37	205	5209
38	206	5098
39	207	4989
40	209	4894
41	210	4797
42	211	4702
43	212	4609
44	213	4520
45	213	4434
46	214	4352
47	215	4273
48	216	4197
49	217	4125
50	217	4056
51	218	3988
52	219	3922
53	220	3859
54	221	3798
55	222	3742
56	223	3696
57	224	3643
58	225	3592
59	226	3541
60	226	3491
61	227	3443
62	228	3397
63	229	3351
64	229	3307
65	230	3265
66	231	3224
67	232	3184
68	233	3145
69	233	3107
70	234	3069
71	235	3034
72	236	3000
73	237	2973
74	238	2945
75	239	2915
76	240	2885
77	241	2854
78	242	2824
79	243	2794
80	243	2765
81	244	2738
82	245	2706
83	245	2680
84	246	2653
85	247	2628
86	248	2603
87	248	2578
88	249	2554
89	250	2531
90	251	2510
91	252	2494
92	253	2474
93	254	2454
94	255	2434
95	256	2416
96	257	2396
97	258	2377
98	259	2358
99	260	2340
100	260	2323
101	262	2309
102	263	2294
103	264	2276
104	265	2259
105	266	2243
106	267	2233
107	268	2218
108	269	2203
109	270	2188
110	271	2173
111	272	2159
112	273	2144
113	274	2130
114	274	2115
115	275	2100
116	276	2085
117	277	2071
118	277	2057
119	278	2044
120	279	2033
121	281	2027
122	283	2021
123	284	2009
124	285	1997
125	286	1985
126	286	1971
127	287	1960
128	288	1949
129	289	1938
130	290	1927
131	291	1917
132	292	1907
133	293	1896
134	294	1886
135	295	1875
136	296	1870
137	298	1862
138	299	1855
139	300	1845
140	301	1834
141	301	1822
142	302	1812
143	303	1802
144	304	1792
145	304	1782
146	305	1772
147	306	1763
148	307	1753
149	307	1745
150	308	1736
151	309	1728
152	310	1719
153	311	1713
154	313	1708
155	314	1701
156	315	1694
157	316	1685
158	317	1677
159	317	1669
160	318	1659
161	319	1651
162	320	1643
163	320	1635
164	321	1628
165	322	1620
166	323	1612
167	323	1604
168	324	1597
169	326	1592
170	327	1588
171	328	1582
172	329	1576
173	330	1568
174	331	1562
175	332	1555
176	333	1548
177	333	1541
178	334	1535
179	335	1528
180	336	1521
181	337	1514
182	337	1508
183	338	1501
184	339	1494
185	340	1489
186	341	1485
187	343	1481
188	343	1475
189	344	1469
190	345	1463
191	346	1457
192	347	1451
193	347	1445
194	348	1440
195	349	1434
196	350	1428
197	351	1422
198	351	1416
199	352	1410
200	353	1404
201	354	1399
202	355	1393
203	356	1390
204	357	1386
205	358	1381
206	359	1375
207	359	1370
208	360	1365
209	361	1359
210	362	1354
211	362	1349
212	363	1344
213	364	1338
214	365	1333
215	365	1328
216	366	1323
217	367	1318
218	368	1313
219	369	1308
220	370	1304
221	371	1302
222	372	1299
223	373	1294
224	374	1290
225	375	1286
226	376	1282
227	377	1278
228	378	1274
229	379	1270
230	380	1266
231	381	1262
232	382	1257
233	383	1254
234	384	1250
235	384	1246
236	386	1243
237	387	1241
238	388	1237
239	389	1232
240	390	1228
241	390	1224
242	391	1219
243	392	1215
244	393	1211
245	393	1207
246	394	1203
247	395	1198
248	396	1194
249	396	1190
250	397	1186
251	398	1182
252	399	1178
253	400	1174
254	401	1172
255	402	1169
256	403	1166
257	404	1162
258	405	1159
259	405	1155
260	406	1151
261	407	1147
262	408	1144
263	409	1140
264	409	1136
265	410	1132
266	411	1129
267	412	1125
268	412	1122
269	413	1118
270	414	1114
271	415	1112
272	416	1109
273	418	1107
274	418	1104
275	419	1100
276	420	1097
277	421	1093
278	421	1090
279	422	1086
280	423	1083
281	424	1080
282	424	1076
283	425	1073
284	426	1070
285	427	1066
286	428	1063
287	428	1060
288	429	1057
289	430	1054
290	432	1052
291	433	1050
292	434	1048
293	435	1044
294	436	1042
295	436	1039
296	437	1036
297	438	1033
298	439	1029
299	440	1026
300	440	1023
301	441	1020
302	442	1017
303	443	1014
304	443	1011
305	444	1008
306	446	1007
307	447	1005
308	448	1002
309	449	999
310	449	996
311	450	993
312	451	990
313	452	987
314	452	984
315	453	982
316	454	979
317	455	976
318	455	973
319	456	970
320	457	967
321	458	965
322	459	962
323	460	960
324	461	958
325	462	956
326	463	954
327	464	951
328	465	948
329	466	946
330	467	943
331	467	941
332	468	938
333	469	936
334	470	933
335	470	930
336	471	928
337	472	926
338	473	923
339	474	922
340	476	920
341	477	919
342	478	916
343	479	914
344	480	911
345	482	912
346	483	909
347	484	907
348	485	904
349	485	902
350	486	899
351	487	897
352	488	896
353	490	894
354	491	892
355	492	891
356	493	889
357	494	887
358	495	884
359	496	882
360	497	880
361	498	878
362	499	876
363	500	873
364	501	871
365	501	869
366	502	867
367	503	865
368	504	863
369	506	861
370	507	860
371	508	858
372	509	856
373	510	854
374	511	852
375	512	849
376	512	847
377	513	845
378	514	843
379	515	841
380	516	838
381	517	836
382	517	834
383	518	832
384	520	830
385	521	829
386	523	828
387	524	826
388	525	825
389	526	822
390	527	820
391	528	819
392	528	816
393	529	814
394	530	812
395	531	810
396	532	808
397	532	805
398	533	803
399	534	802
400	536	801
401	537	799
402	538	797
403	538	794
404	539	792
405	540	790
406	541	788
407	541	786
408	542	783
409	543	781
410	543	779
411	544	777
412	545	775
413	546	773
414	547	771
415	548	769
416	549	767
417	550	766
418	551	764
419	552	762
420	553	760
421	553	758
422	554	756
423	555	754
424	556	752
425	556	750
426	557	748
427	558	746
428	559	744
429	560	742
430	560	740
431	561	738
432	562	736
433	563	734
434	564	732
435	566	732
436	567	730
437	568	729
438	569	727
439	569	725
440	570	723
441	571	721
442	572	719
443	573	717
444	574	715
445	574	714
446	575	712
447	576	710
448	577	708
449	577	706
450	578	704
451	580	703
452	581	701
453	582	700
454	583	698
455	583	696
456	584	694
457	585	692
458	586	690
459	586	689
460	587	687
461	588	685
462	589	683
463	589	681
464	590	679
465	591	677
466	592	675
467	593	674
468	594	672
469	596	672
470	597	670
471	597	668
472	598	667
473	599	665
474	600	663
475	601	662
476	602	660
477	602	658
478	603	656
479	604	654
480	605	653
481	606	651
482	606	649
483	607	647
484	608	646
485	609	644
486	611	643
487	611	642
488	612	640
489	613	638
490	614	636
491	615	635
492	615	633
493	616	631
494	617	629
495	618	628
496	618	626
497	619	624
498	620	622
499	621	621
500	621	619
501	622	617
502	623	616
503	624	614
504	626	613
505	626	612
506	627	610
507	628	608
508	629	607
509	629	605
510	630	603
511	631	601
512	632	600
513	633	598
514	633	596
515	634	595
516	635	593
517	636	592
518	637	590
519	638	589
520	639	587
521	639	585
522	640	584
523	641	582
524	642	580
525	642	579
526	643	577
527	644	575
528	644	574
529	645	572
530	646	570
531	647	569
532	647	567
533	648	566
534	649	564
535	651	563
536	652	562
537	652	560
538	653	559
539	654	557
540	655	555
541	655	554
542	656	552
543	657	551
544	658	549
545	658	547
546	659	546
547	660	544
548	661	543
549	662	541
550	662	540
551	663	538
552	664	537
553	666	536
554	667	535
555	668	533
556	668	531
557	669	530
558	670	528
559	671	527
560	671	525
561	672	524
562	673	522
563	674	521
564	674	519
565	675	517
566	676	516
567	677	514
568	677	513
569	678	511
570	679	510
571	680	509
572	681	508
573	682	506
574	683	505
575	684	503
576	684	502
577	685	500
578	686	499
579	687	497
580	688	496
581	688	494
582	689	493
583	690	491
584	691	490
585	691	488
586	692	487
587	693	485
588	694	484
589	696	483
590	697	482
591	697	480
592	698	479
593	699	478
594	700	476
595	700	475
596	701	473
597	702	472
598	703	470
599	704	469
600	704	467
601	705	466
602	706	464
603	706	463
604	707	461
605	708	460
606	709	459
607	711	458
608	712	457
609	713	455
610	714	454
611	714	453
612	715	451
613	716	450
614	717	449
615	718	447
616	718	446
617	719	444
618	720	443
619	721	441
620	721	440
621	722	439
622	723	437
623	724	436
624	726	435
625	727	434
626	727	433
627	728	431
628	729	430
629	730	429
630	731	427
631	731	426
632	732	424
633	733	423
634	734	422
635	734	420
636	735	419
637	736	417
638	737	416
639	738	415
640	739	414
641	741	413
642	742	412
643	743	410
644	743	409
645	744	408
646	745	406
647	746	405
648	746	403
649	747	402
650	748	401
651	749	399
652	749	398
653	750	397
654	751	395
655	752	394
656	752	393
657	753	391
658	754	390
659	756	389
660	757	388
661	758	387
662	758	385
663	759	384
664	760	383
665	761	381
666	762	380
667	762	379
668	763	377
669	764	376
670	765	375
671	765	373
672	766	372
673	767	371
674	768	369
675	769	368
676	770	367
677	771	366
678	772	365
679	773	363
680	774	362
681	774	361
682	775	360
683	776	358
684	777	357
685	778	356
686	778	354
687	779	353
688	780	352
689	781	350
690	782	349
691	782	348
692	783	347
693	785	346
694	786	345
695	787	343
696	787	342
